Question,label
Compute 9^(1/20).,1
Find the number of subsets of size 9 from a set of size 16,5
Solve the inequality 14x + 8 > 16,0
Evaluate the product 13 × 11 ÷ 3,1
Compute the sum of the infinite geometric series with first term 14 and ratio 18,7
Compute the number of permutations of 1 distinct objects taken 20 at a time,5
Simplify tan(1°) · cos(18°),4
"Solve for x,y: [[2, 19],[11, 18]] [x y]^T = [3, 18]^T",6
Express 13x^2 - 94 + 5 in factored form,0
"Determine if vectors (10, 11, 4) and (17, 19, 13) are orthogonal",6
Simplify tan(9°) · cos(9°),4
Compute the number of permutations of 3 distinct objects taken 9 at a time,5
How many surjections from an 16-element set to a 7-element set?,5
Express 16x^2 - 165 + 1 in factored form,0
Compute the sum of the infinite geometric series with first term 15 and ratio 3,7
How many surjections from an 7-element set to a 3-element set?,5
"If two events A and B are independent with P(A)=9 and P(B)=11, find P(A∪B)",3
How many binary relations exist on a set of size 1?,5
Find the number of subsets of size 8 from a set of size 6,5
"In a binomial distribution with n=12 and p=17, find P(X=10)",3
Find the value of x if x/12 + 17 = 8,0
Compute the number of permutations of 16 distinct objects taken 6 at a time,5
Convert 11/18 to a decimal,1
"Solve for x,y: [[3, 5],[20, 8]] [x y]^T = [2, 15]^T",6
"What is the circumcircle radius of a triangle with sides 1, 13, 15?",4
"What is the circumcircle radius of a triangle with sides 1, 6, 14?",4
What is 1% of 6?,1
Compute d/dx (14x^14 + 9x),2
"What is the expected value of a uniform distribution on [20, 3]?",3
Find the value of x if x/2 + 2 = 12,0
Find the general term of the series defined by a_n = 20n^2 + 18,7
What is the probability of drawing 5 cards without replacement from a deck of 8?,3
Find the length of hypotenuse in a right triangle with legs 1 and 18,4
Compute the number of permutations of 14 distinct objects taken 4 at a time,5
Simplify tan(12°) · cos(6°),4
Solve the inequality 3x + 20 > 13,0
How many surjections from an 11-element set to a 17-element set?,5
Compute the area of a trapezoid with bases 16 and 14 and height 6,4
"Determine if vectors (1, 19, 18) and (3, 10, 6) are orthogonal",6
"What is the expected value of a uniform distribution on [14, 10]?",3
"What is the circumcircle radius of a triangle with sides 4, 13, 5?",4
Find the general term of the series defined by a_n = 16n^2 + 3,7
Evaluate ∫ (8x + 8) dx,2
Express 1x^2 - 131 + 4 in factored form,0
Compute the number of permutations of 10 distinct objects taken 1 at a time,5
Solve the inequality 13x + 6 > 20,0
What is 1% of 7?,1
"Find eigenvalues of the 2x2 matrix [[9, 17], [3, 3]]",6
What is 8% of 15?,1
Compute the area of a trapezoid with bases 5 and 11 and height 20,4
"What is the expected value of a uniform distribution on [10, 5]?",3
Simplify tan(19°) · cos(16°),4
"What is the expected value of a uniform distribution on [1, 13]?",3
What is 11% of 12?,1
Find d^2/dx^2 of x^6,2
Solve the inequality 13x + 11 > 11,0
Evaluate the product 19 × 20 ÷ 20,1
What is the probability of drawing 3 cards without replacement from a deck of 2?,3
What is the probability of drawing 20 cards without replacement from a deck of 14?,3
"Solve for x,y: [[16, 18],[9, 6]] [x y]^T = [13, 9]^T",6
"Compute the Stirling number of the second kind S(17, 19)",5
Convert 9/7 to a decimal,1
Evaluate the product 20 × 17 ÷ 18,1
Solve the inequality 2x + 17 > 17,0
Compute d/dx (15x^14 + 6x),2
Find the length of hypotenuse in a right triangle with legs 13 and 3,4
Solve the inequality 1x + 19 > 2,0
Evaluate the product 6 × 16 ÷ 7,1
Simplify tan(10°) · cos(17°),4
Find the length of hypotenuse in a right triangle with legs 7 and 15,4
"Compute the inverse of [[5, 12, 3],[16, 20, 5],[9, 12, 15]] if it exists",6
Compute ∂/∂y of 20x^2y + 2xy,2
"Find eigenvalues of the 2x2 matrix [[4, 16], [7, 15]]",6
"What is the circumcircle radius of a triangle with sides 17, 10, 14?",4
How many surjections from an 20-element set to a 18-element set?,5
Evaluate ∫ (6x + 10) dx,2
Find the nth term of the arithmetic sequence with a1=1 and d=1,7
Compute ∂/∂y of 16x^2y + 10xy,2
"Determine if vectors (14, 5, 18) and (16, 13, 14) are orthogonal",6
Find the number of subsets of size 14 from a set of size 13,5
Compute the number of permutations of 4 distinct objects taken 11 at a time,5
"What is the circumcircle radius of a triangle with sides 9, 5, 18?",4
"What is the expected value of a uniform distribution on [14, 19]?",3
"Solve for x,y: [[20, 1],[3, 15]] [x y]^T = [20, 8]^T",6
Compute the area of a trapezoid with bases 19 and 8 and height 2,4
Find the nth term of the arithmetic sequence with a1=8 and d=4,7
Find the length of hypotenuse in a right triangle with legs 6 and 5,4
What is the probability of drawing 9 cards without replacement from a deck of 11?,3
Compute the number of permutations of 5 distinct objects taken 5 at a time,5
Evaluate the product 7 × 20 ÷ 5,1
"If A = [[11, 19], [4, 14]], find tr(A)",6
"What is the circumcircle radius of a triangle with sides 18, 5, 18?",4
Compute the sum of the infinite geometric series with first term 20 and ratio 6,7
Find the nth term of the arithmetic sequence with a1=11 and d=12,7
Compute d/dx (19x^7 + 13x),2
Convert 10/11 to a decimal,1
Compute ∂/∂y of 15x^2y + 2xy,2
"Find eigenvalues of the 2x2 matrix [[12, 1], [15, 10]]",6
Express 8x^2 - 73 + 8 in factored form,0
"Solve for x,y: [[3, 3],[16, 7]] [x y]^T = [12, 1]^T",6
"Find eigenvalues of the 2x2 matrix [[11, 17], [19, 13]]",6
"Compute the inverse of [[15, 11, 14],[5, 11, 15],[17, 6, 15]] if it exists",6
Convert 1/16 to a decimal,1
Find the value of x if x/5 + 6 = 4,0
"What is the circumcircle radius of a triangle with sides 2, 20, 10?",4
"Determine if vectors (10, 9, 9) and (1, 2, 8) are orthogonal",6
Compute the sum of the infinite geometric series with first term 1 and ratio 8,7
Solve the inequality 9x + 3 > 15,0
"Compute the inverse of [[11, 8, 6],[1, 17, 16],[19, 15, 17]] if it exists",6
Simplify the expression (16x^2 - 10x + 9),0
Find the number of subsets of size 3 from a set of size 9,5
What is the probability of drawing 5 cards without replacement from a deck of 14?,3
How many binary relations exist on a set of size 20?,5
Compute ∂/∂y of 3x^2y + 5xy,2
Compute d/dx (8x^2 + 4x),2
Find the remainder when 11 is divided by 9,1
"What is the expected value of a uniform distribution on [7, 18]?",3
"If A = [[6, 5], [9, 8]], find tr(A)",6
Solve the inequality 15x + 3 > 17,0
"If two events A and B are independent with P(A)=14 and P(B)=14, find P(A∪B)",3
What is 12% of 9?,1
"In a binomial distribution with n=16 and p=5, find P(X=18)",3
"Solve for x,y: [[2, 2],[17, 20]] [x y]^T = [20, 19]^T",6
Evaluate the product 5 × 1 ÷ 17,1
"Find eigenvalues of the 2x2 matrix [[12, 12], [9, 1]]",6
"Solve for x,y: [[4, 19],[1, 20]] [x y]^T = [10, 17]^T",6
"Find eigenvalues of the 2x2 matrix [[18, 17], [2, 15]]",6
Compute 5^(1/15).,1
"If A = [[6, 16], [1, 20]], find tr(A)",6
Find the nth term of the arithmetic sequence with a1=15 and d=1,7
Express 11x^2 - 2016 + 4 in factored form,0
Simplify the expression (18x^2 - 6x + 14),0
Find the remainder when 18 is divided by 17,1
Solve the inequality 19x + 20 > 4,0
Compute 5^(1/1).,1
"Solve for x,y: [[11, 9],[6, 20]] [x y]^T = [6, 2]^T",6
What is 18% of 6?,1
Compute ∂/∂y of 9x^2y + 2xy,2
"Compute the inverse of [[1, 7, 19],[19, 9, 5],[17, 2, 16]] if it exists",6
How many surjections from an 3-element set to a 9-element set?,5
Find the length of hypotenuse in a right triangle with legs 10 and 9,4
Find the length of hypotenuse in a right triangle with legs 5 and 2,4
"Find eigenvalues of the 2x2 matrix [[15, 2], [19, 13]]",6
"Compute the inverse of [[3, 9, 12],[12, 6, 17],[6, 3, 4]] if it exists",6
"Compute the inverse of [[12, 1, 5],[3, 7, 4],[19, 10, 8]] if it exists",6
"What is the circumcircle radius of a triangle with sides 3, 1, 17?",4
"Determine if vectors (16, 17, 13) and (18, 15, 15) are orthogonal",6
How many binary relations exist on a set of size 12?,5
What is the probability of drawing 6 cards without replacement from a deck of 16?,3
Find d^2/dx^2 of x^12,2
Simplify the expression (18x^2 - 10x + 6),0
Compute ∂/∂y of 19x^2y + 7xy,2
"What is the expected value of a uniform distribution on [6, 15]?",3
"If two events A and B are independent with P(A)=8 and P(B)=6, find P(A∪B)",3
Find the remainder when 16 is divided by 7,1
"Compute the Stirling number of the second kind S(9, 19)",5
Find the number of subsets of size 11 from a set of size 16,5
Compute the area of a trapezoid with bases 19 and 17 and height 15,4
"Find eigenvalues of the 2x2 matrix [[4, 8], [7, 18]]",6
Simplify tan(14°) · cos(7°),4
"What is the expected value of a uniform distribution on [16, 14]?",3
Express 20x^2 - 1210 + 9 in factored form,0
Solve the inequality 2x + 19 > 12,0
Simplify tan(9°) · cos(17°),4
Convert 16/17 to a decimal,1
Find the number of subsets of size 13 from a set of size 6,5
What is 1% of 14?,1
Compute d/dx (16x^19 + 13x),2
"In a binomial distribution with n=13 and p=7, find P(X=4)",3
"If A = [[12, 1], [18, 19]], find tr(A)",6
Solve the inequality 12x + 16 > 12,0
Simplify the expression (2x^2 - 19x + 9),0
"If two events A and B are independent with P(A)=17 and P(B)=4, find P(A∪B)",3
"What is the circumcircle radius of a triangle with sides 5, 6, 7?",4
"Compute the Stirling number of the second kind S(6, 4)",5
Evaluate the product 15 × 3 ÷ 3,1
Convert 20/16 to a decimal,1
"If two events A and B are independent with P(A)=18 and P(B)=8, find P(A∪B)",3
Find the nth term of the arithmetic sequence with a1=11 and d=1,7
Compute ∂/∂y of 19x^2y + 5xy,2
"Find eigenvalues of the 2x2 matrix [[9, 8], [15, 4]]",6
"If A = [[20, 16], [15, 16]], find tr(A)",6
Compute the sum of the infinite geometric series with first term 12 and ratio 16,7
Compute the number of permutations of 12 distinct objects taken 13 at a time,5
Evaluate the product 18 × 12 ÷ 4,1
What is 20% of 16?,1
Simplify tan(5°) · cos(6°),4
Evaluate the product 17 × 7 ÷ 7,1
"What is the circumcircle radius of a triangle with sides 4, 6, 20?",4
Simplify tan(11°) · cos(11°),4
Convert 19/20 to a decimal,1
"Solve for x,y: [[2, 3],[10, 18]] [x y]^T = [13, 17]^T",6
Compute ∂/∂y of 13x^2y + 17xy,2
Convert 2/11 to a decimal,1
Compute ∂/∂y of 4x^2y + 6xy,2
Compute the area of a trapezoid with bases 13 and 16 and height 5,4
Convert 12/1 to a decimal,1
Compute the area of a trapezoid with bases 5 and 11 and height 1,4
Compute ∂/∂y of 5x^2y + 3xy,2
Solve for x: 3^2 - 4x + 14 = 0,0
"Determine if vectors (8, 5, 5) and (18, 11, 3) are orthogonal",6
Find the value of x if x/17 + 13 = 14,0
How many surjections from an 15-element set to a 17-element set?,5
Compute the number of permutations of 20 distinct objects taken 2 at a time,5
Compute the sum of the infinite geometric series with first term 14 and ratio 4,7
"If two events A and B are independent with P(A)=14 and P(B)=8, find P(A∪B)",3
"Solve for x,y: [[14, 1],[10, 10]] [x y]^T = [18, 7]^T",6
Compute the sum of the infinite geometric series with first term 15 and ratio 17,7
Evaluate ∫ (5x + 3) dx,2
How many surjections from an 17-element set to a 4-element set?,5
What is the probability of drawing 6 cards without replacement from a deck of 2?,3
"What is the circumcircle radius of a triangle with sides 11, 13, 12?",4
Find d^2/dx^2 of x^3,2
"In a binomial distribution with n=10 and p=20, find P(X=11)",3
What is the probability of drawing 11 cards without replacement from a deck of 14?,3
Convert 6/3 to a decimal,1
"If two events A and B are independent with P(A)=13 and P(B)=1, find P(A∪B)",3
Simplify tan(20°) · cos(5°),4
"If A = [[18, 9], [11, 4]], find tr(A)",6
Solve for x: 5^2 - 20x + 6 = 0,0
Determine the 15th Fibonacci number,7
Evaluate ∫ (16x + 3) dx,2
"Compute the Stirling number of the second kind S(1, 4)",5
Solve the inequality 20x + 20 > 18,0
"What is the circumcircle radius of a triangle with sides 14, 18, 10?",4
How many binary relations exist on a set of size 16?,5
"Compute the Stirling number of the second kind S(20, 4)",5
Solve the inequality 15x + 1 > 9,0
Find the nth term of the arithmetic sequence with a1=13 and d=1,7
"Compute the inverse of [[2, 12, 9],[20, 14, 11],[14, 12, 10]] if it exists",6
"Find eigenvalues of the 2x2 matrix [[2, 12], [16, 2]]",6
Find the general term of the series defined by a_n = 16n^2 + 9,7
Find the value of x if x/11 + 4 = 6,0
Find the nth term of the arithmetic sequence with a1=1 and d=9,7
Compute d/dx (3x^6 + 11x),2
"What is the circumcircle radius of a triangle with sides 5, 2, 10?",4
Find the length of hypotenuse in a right triangle with legs 13 and 13,4
Find the general term of the series defined by a_n = 8n^2 + 18,7
"Solve for x,y: [[8, 7],[3, 11]] [x y]^T = [4, 7]^T",6
"If A = [[4, 10], [10, 17]], find tr(A)",6
"In a binomial distribution with n=2 and p=4, find P(X=19)",3
Compute the area of a trapezoid with bases 17 and 19 and height 1,4
Solve the inequality 8x + 4 > 13,0
Convert 13/9 to a decimal,1
Compute ∂/∂y of 17x^2y + 2xy,2
"Determine if vectors (17, 4, 16) and (19, 6, 3) are orthogonal",6
"If A = [[12, 18], [6, 20]], find tr(A)",6
"Compute the Stirling number of the second kind S(9, 1)",5
"What is the expected value of a uniform distribution on [8, 13]?",3
"Determine if vectors (4, 10, 2) and (1, 17, 5) are orthogonal",6
Find the remainder when 4 is divided by 14,1
Find the nth term of the arithmetic sequence with a1=7 and d=9,7
Find d^2/dx^2 of x^16,2
Compute d/dx (8x^15 + 14x),2
Compute the number of permutations of 6 distinct objects taken 11 at a time,5
"Compute the inverse of [[1, 5, 2],[8, 14, 20],[15, 19, 12]] if it exists",6
Find the general term of the series defined by a_n = 9n^2 + 13,7
Find the general term of the series defined by a_n = 16n^2 + 10,7
"If two events A and B are independent with P(A)=19 and P(B)=4, find P(A∪B)",3
"Compute the inverse of [[7, 18, 15],[9, 8, 2],[9, 1, 17]] if it exists",6
Compute the area of a trapezoid with bases 5 and 19 and height 8,4
Express 7x^2 - 213 + 5 in factored form,0
Simplify tan(8°) · cos(20°),4
"In a binomial distribution with n=8 and p=3, find P(X=13)",3
Simplify the expression (17x^2 - 14x + 7),0
What is 16% of 10?,1
"Compute the Stirling number of the second kind S(7, 7)",5
"Determine if vectors (4, 2, 8) and (12, 14, 7) are orthogonal",6
Compute ∂/∂y of 6x^2y + 8xy,2
Solve the inequality 4x + 9 > 2,0
How many surjections from an 3-element set to a 11-element set?,5
Find the remainder when 20 is divided by 5,1
Find the remainder when 20 is divided by 1,1
How many surjections from an 19-element set to a 10-element set?,5
Compute the area of a trapezoid with bases 18 and 7 and height 3,4
"Find eigenvalues of the 2x2 matrix [[11, 17], [5, 10]]",6
Solve for x: 18^2 - 15x + 15 = 0,0
Solve the inequality 20x + 5 > 5,0
Simplify the expression (13x^2 - 7x + 10),0
"Solve for x,y: [[7, 19],[11, 15]] [x y]^T = [9, 15]^T",6
"What is the expected value of a uniform distribution on [6, 1]?",3
Evaluate the product 8 × 13 ÷ 19,1
Compute the area of a trapezoid with bases 3 and 15 and height 11,4
Find the general term of the series defined by a_n = 4n^2 + 7,7
Solve the inequality 3x + 6 > 6,0
"What is the expected value of a uniform distribution on [5, 15]?",3
Compute the area of a trapezoid with bases 5 and 13 and height 13,4
"What is the expected value of a uniform distribution on [14, 14]?",3
Find the general term of the series defined by a_n = 12n^2 + 13,7
How many binary relations exist on a set of size 19?,5
Convert 17/3 to a decimal,1
Express 15x^2 - 1111 + 10 in factored form,0
Find the value of x if x/18 + 11 = 16,0
Solve the inequality 15x + 12 > 9,0
Compute 19^(1/11).,1
Compute d/dx (16x^14 + 10x),2
"Determine if vectors (9, 16, 15) and (6, 2, 10) are orthogonal",6
Find the number of subsets of size 9 from a set of size 14,5
What is 3% of 10?,1
"If two events A and B are independent with P(A)=12 and P(B)=10, find P(A∪B)",3
What is the probability of drawing 15 cards without replacement from a deck of 13?,3
Evaluate the product 16 × 12 ÷ 18,1
"Determine if vectors (12, 15, 8) and (5, 1, 15) are orthogonal",6
"If A = [[3, 17], [18, 16]], find tr(A)",6
"What is the circumcircle radius of a triangle with sides 2, 14, 8?",4
How many surjections from an 12-element set to a 13-element set?,5
"Solve for x,y: [[11, 20],[17, 18]] [x y]^T = [15, 1]^T",6
Find the value of x if x/10 + 16 = 19,0
Compute the number of permutations of 10 distinct objects taken 10 at a time,5
"Determine if vectors (20, 2, 3) and (16, 4, 6) are orthogonal",6
"Solve for x,y: [[14, 20],[12, 19]] [x y]^T = [20, 3]^T",6
Solve the inequality 12x + 9 > 11,0
Convert 8/7 to a decimal,1
Compute 3^(1/20).,1
Compute the area of a trapezoid with bases 17 and 13 and height 6,4
How many binary relations exist on a set of size 9?,5
"Compute the inverse of [[16, 8, 13],[16, 1, 20],[6, 10, 2]] if it exists",6
Compute the area of a trapezoid with bases 4 and 4 and height 13,4
"In a binomial distribution with n=18 and p=1, find P(X=6)",3
